         9419009 function calls (9401623 primitive calls) in 4.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   388/56    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
       96    0.000    0.000    0.003    0.000 typing.py:675(Optional)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
    11311    0.002    0.000    0.003    0.000 Image.py:535(height)
      691    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:392(cached)
      399    0.003    0.000    0.003    0.000 {built-in method io.open}
       10    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
       25    0.000    0.000    0.003    0.000 _make.py:902(add_repr)
        2    0.000    0.000    0.003    0.002 utils.py:1(<module>)
        1    0.000    0.000    0.003    0.003 converters.py:1(<module>)
       38    0.000    0.000    0.003    0.000 _make.py:972(add_init)
        1    0.000    0.000    0.003    0.003 freetype.py:1(<module>)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:1(<module>)
       39    0.000    0.000    0.003    0.000 _make.py:327(_make_attr_tuple_class)
      351    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       38    0.000    0.000    0.003    0.000 _make.py:1978(_make_init)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
     1799    0.001    0.000    0.003    0.000 sprite_list.py:498(_next_slot)
        3    0.003    0.001    0.003    0.001 xlib.py:217(set_vsync)
      374    0.002    0.000    0.003    0.000 enum.py:237(__set_name__)
      115    0.000    0.000    0.003    0.000 context.py:752(buffer)
        1    0.000    0.000    0.003    0.003 gl_compat.py:1(<module>)
     4107    0.002    0.000    0.003    0.000 texture.py:666(__hash__)
    20976    0.003    0.000    0.003    0.000 {built-in method sys.intern}
     7604    0.002    0.000    0.003    0.000 _binary.py:84(i32be)
      115    0.002    0.000    0.003    0.000 buffer.py:45(__init__)
    29264    0.003    0.000    0.003    0.000 Image.py:539(size)
     3315    0.002    0.000    0.003    0.000 texture.py:669(__eq__)
     3106    0.002    0.000    0.003    0.000 pathlib.py:240(splitroot)
     1854    0.002    0.000    0.003    0.000 __init__.py:393(__getitem__)
      825    0.001    0.000    0.003    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.002    0.002 TiffImagePlugin.py:1(<module>)
      342    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      630    0.001    0.000    0.002    0.000 PngImagePlugin.py:544(chunk_tEXt)
        1    0.000    0.000    0.002    0.002 xf86vmode.py:1(<module>)
       38    0.000    0.000    0.002    0.000 _make.py:572(<listcomp>)
     1799    0.002    0.000    0.002    0.000 tilemap.py:43(_get_image_info_from_tileset)
       14    0.000    0.000    0.002    0.000 subprocess.py:807(__init__)
    19822    0.002    0.000    0.002    0.000 {method 'partition' of 'str' objects}
     1799    0.002    0.000    0.002    0.000 base.py:616(center_x)
     2114    0.002    0.000    0.002    0.000 {built-in method _hashlib.new}
       40    0.000    0.000    0.002    0.000 _make.py:1724(_make_eq)
     2174    0.001    0.000    0.002    0.000 <frozen posixpath>:389(normpath)
       37    0.000    0.000    0.002    0.000 _make.py:1017(add_eq)
     8149    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
